label,text,text_np,text_tokens,text_nostop,text_lem,length,punc%,cap%
spam,"Votre facture téléphonique est en attente de paiement, régularisez ici.",votre facture téléphonique est en attente de paiement régularisez ici,"['votre', 'facture', 'téléphonique', 'est', 'en', 'attente', 'de', 'paiement', 'régularisez', 'ici']","['facture', 'téléphonique', 'attente', 'paiement', 'régularisez', 'ici']","['factur', 'téléphonique', 'attente', 'paiement', 'régulariser', 'ici']",0.620253164556962,0.26666666666666666,0.013452914798206282
spam,Urgent : Mise à jour de vos informations de sécurité requise.,urgent  mise à jour de vos informations de sécurité requise,"['urgent', 'mise', 'à', 'jour', 'de', 'vos', 'informations', 'de', 'sécurité', 'requise']","['urgent', 'mise', 'jour', 'informations', 'sécurité', 'requise']","['urgent', 'mise', 'jour', 'information', 'sécurité', 'requérir']",0.4810126582278481,0.32499999999999996,0.11659192825112108
spam,Trop beau pour être vrai ? Essayez et voyez par vous-même !,trop beau pour être vrai  essayez et voyez par vousmême ,"['trop', 'beau', 'pour', 'être', 'vrai', 'essayez', 'et', 'voyez', 'par', 'vousmême']","['trop', 'beau', 'être', 'vrai', 'essayez', 'voyez', 'vousmême']","['trop', 'beau', 'être', 'vrai', 'essayez', 'voir', 'vousmême']",0.44303797468354433,0.5166666666666666,0.13004484304932737
spam,"Votre facture téléphonique est en attente de paiement, régularisez ici.",votre facture téléphonique est en attente de paiement régularisez ici,"['votre', 'facture', 'téléphonique', 'est', 'en', 'attente', 'de', 'paiement', 'régularisez', 'ici']","['facture', 'téléphonique', 'attente', 'paiement', 'régularisez', 'ici']","['factur', 'téléphonique', 'attente', 'paiement', 'régulariser', 'ici']",0.620253164556962,0.26666666666666666,0.013452914798206282
ham,Je suis ravi de te revoir bientôt !,je suis ravi de te revoir bientôt ,"['je', 'suis', 'ravi', 'de', 'te', 'revoir', 'bientôt']","['ravi', 'revoir', 'bientôt']","['ravi', 'revoir', 'bientôt']",0.189873417721519,0.29999999999999993,0.10313901345291479
spam,Gagnez 500€ immédiatement en répondant à ce sondage !,gagnez 500€ immédiatement en répondant à ce sondage ,"['gagnez', '500€', 'immédiatement', 'en', 'répondant', 'à', 'ce', 'sondage']","['gagnez', '500€', 'immédiatement', 'répondant', 'sondage']","['gagnez', '500', 'euro', 'immédiatement', 'répondre', 'sondage']",0.40506329113924056,0.1833333333333333,0.04035874439461882
ham,"Salut Sophie, ça va ? On se voit ce soir pour le dîner ?",salut sophie ça va  on se voit ce soir pour le dîner ,"['salut', 'sophie', 'ça', 'va', 'on', 'se', 'voit', 'ce', 'soir', 'pour', 'le', 'dîner']","['salut', 'sophie', 'ça', 'va', 'voit', 'soir', 'dîner']","['salut', 'sophie', 'cela', 'aller', 'voir', 'soir', 'dîner']",0.379746835443038,0.5833333333333334,0.25560538116591935
ham,Tu veux un café ?,tu veux un café ,"['tu', 'veux', 'un', 'café']","['veux', 'café']","['veux', 'café']",0.0,0.6416666666666666,0.2869955156950673
spam,Le secret des millionnaires enfin révélé : inscrivez-vous gratuitement.,le secret des millionnaires enfin révélé  inscrivezvous gratuitement,"['le', 'secret', 'des', 'millionnaires', 'enfin', 'révélé', 'inscrivezvous', 'gratuitement']","['secret', 'millionnaires', 'enfin', 'révélé', 'inscrivezvous', 'gratuitement']","['secret', 'millionnaire', 'enfin', 'révéler', 'inscrivezvou', 'gratuitement']",0.6329113924050633,0.39999999999999997,0.013452914798206282
ham,On se retrouve au café à 15h ?,on se retrouve au café à 15h ,"['on', 'se', 'retrouve', 'au', 'café', 'à', '15h']","['retrouve', 'café', '15h']","['retrouver', 'café', '15h']",0.12658227848101267,0.3583333333333333,0.13452914798206278
ham,"Je suis en route, j’arrive dans 10 min.",je suis en route j’arrive dans 10 min,"['je', 'suis', 'en', 'route', 'j', '’', 'arrive', 'dans', '10', 'min']","['route', '’', 'arrive', '10', 'min']","['rout', '’', 'arriver', '10', 'min']",0.24050632911392406,0.5166666666666666,0.08071748878923768
ham,"On part en week-end, ça va être génial !",on part en weekend ça va être génial ,"['on', 'part', 'en', 'weekend', 'ça', 'va', 'être', 'génial']","['part', 'weekend', 'ça', 'va', 'être', 'génial']","['part', 'weekend', 'cela', 'aller', 'être', 'génial']",0.24050632911392406,0.7833333333333333,0.08071748878923768
spam,Gagnez des récompenses en répondant à ce court questionnaire !,gagnez des récompenses en répondant à ce court questionnaire ,"['gagnez', 'des', 'récompenses', 'en', 'répondant', 'à', 'ce', 'court', 'questionnaire']","['gagnez', 'récompenses', 'répondant', 'court', 'questionnaire']","['gagnez', 'récompense', 'répondre', 'court', 'questionnair']",0.5063291139240507,0.15833333333333333,0.026905829596412557
spam,"Vous avez été sélectionné pour un test produit gratuit, inscrivez-vous !",vous avez été sélectionné pour un test produit gratuit inscrivezvous ,"['vous', 'avez', 'été', 'sélectionné', 'pour', 'un', 'test', 'produit', 'gratuit', 'inscrivezvous']","['sélectionné', 'test', 'produit', 'gratuit', 'inscrivezvous']","['sélectionner', 'test', 'produit', 'gratuit', 'inscrivezvou']",0.620253164556962,0.39999999999999997,0.013452914798206282
ham,J’ai trouvé une super recette à tester.,j’ai trouvé une super recette à tester,"['j', '’', 'ai', 'trouvé', 'une', 'super', 'recette', 'à', 'tester']","['’', 'trouvé', 'super', 'recette', 'tester']","['’', 'trouver', 'super', 'recette', 'tester']",0.25316455696202533,0.25,0.07623318385650224
ham,Dis-moi quand tu es dispo pour un appel.,dismoi quand tu es dispo pour un appel,"['dismoi', 'quand', 'tu', 'es', 'dispo', 'pour', 'un', 'appel']","['dismoi', 'quand', 'dispo', 'appel']","['dismoi', 'quand', 'dispo', 'appel']",0.25316455696202533,0.5083333333333333,0.07623318385650224
spam,Découvrez comment doubler votre argent en investissant avec nous.,découvrez comment doubler votre argent en investissant avec nous,"['découvrez', 'comment', 'doubler', 'votre', 'argent', 'en', 'investissant', 'avec', 'nous']","['découvrez', 'comment', 'doubler', 'argent', 'investissant']","['découvrir', 'comment', 'doubler', 'argent', 'investir']",0.5569620253164557,0.14999999999999997,0.02242152466367712
spam,Téléchargez cette application et recevez un bon d’achat de 50€.,téléchargez cette application et recevez un bon d’achat de 50€,"['téléchargez', 'cette', 'application', 'et', 'recevez', 'un', 'bon', 'd', '’', 'achat', 'de', '50€']","['téléchargez', 'cette', 'application', 'recevez', 'bon', '’', 'achat', '50€']","['télécharger', 'ce', 'application', 'recevoir', 'bon', '’', 'achat', '50', 'euro']",0.5189873417721519,0.15833333333333333,0.026905829596412557
spam,"Offre spéciale : 70% de réduction sur tous nos produits, cliquez ici : www.promo-fake.com",offre spéciale  70 de réduction sur tous nos produits cliquez ici  wwwpromofakecom,"['offre', 'spéciale', '70', 'de', 'réduction', 'sur', 'tous', 'nos', 'produits', 'cliquez', 'ici', 'wwwpromofakecom']","['offre', 'spéciale', '70', 'réduction', 'tous', 'produits', 'cliquez', 'ici', 'wwwpromofakecom']","['offrir', 'spécial', '70', 'réduction', 'tout', 'produit', 'cliquer', 'ici', 'wwwpromofakecom']",0.7974683544303798,0.7666666666666666,0.0
ham,"Je suis au travail, je te rappelle plus tard.",je suis au travail je te rappelle plus tard,"['je', 'suis', 'au', 'travail', 'je', 'te', 'rappelle', 'plus', 'tard']","['travail', 'rappelle', 'plus', 'tard']","['travail', 'rappell', 'plus', 'tard']",0.3037974683544304,0.45,0.06278026905829598
spam,Cliquez ici pour découvrir une méthode révolutionnaire pour perdre du poids en 3 jours.,cliquez ici pour découvrir une méthode révolutionnaire pour perdre du poids en 3 jours,"['cliquez', 'ici', 'pour', 'découvrir', 'une', 'méthode', 'révolutionnaire', 'pour', 'perdre', 'du', 'poids', 'en', '3', 'jours']","['cliquez', 'ici', 'découvrir', 'méthode', 'révolutionnaire', 'perdre', 'poids', '3', 'jours']","['cliquer', 'ici', 'découvrir', 'méthode', 'révolutionnaire', 'perdre', 'poids', '3', 'jour']",0.7721518987341772,0.11666666666666667,0.004484304932735432
ham,J’ai trouvé une super recette à tester.,j’ai trouvé une super recette à tester,"['j', '’', 'ai', 'trouvé', 'une', 'super', 'recette', 'à', 'tester']","['’', 'trouvé', 'super', 'recette', 'tester']","['’', 'trouver', 'super', 'recette', 'tester']",0.25316455696202533,0.25,0.07623318385650224
ham,Tu peux me rappeler quand tu es dispo ?,tu peux me rappeler quand tu es dispo ,"['tu', 'peux', 'me', 'rappeler', 'quand', 'tu', 'es', 'dispo']","['peux', 'rappeler', 'quand', 'dispo']","['peu', 'rappeler', 'quand', 'dispo']",0.22784810126582278,0.26666666666666666,0.08520179372197312
ham,On se retrouve au café à 15h ?,on se retrouve au café à 15h ,"['on', 'se', 'retrouve', 'au', 'café', 'à', '15h']","['retrouve', 'café', '15h']","['retrouver', 'café', '15h']",0.12658227848101267,0.3583333333333333,0.13452914798206278
spam,Urgent : Mise à jour de vos informations de sécurité requise.,urgent  mise à jour de vos informations de sécurité requise,"['urgent', 'mise', 'à', 'jour', 'de', 'vos', 'informations', 'de', 'sécurité', 'requise']","['urgent', 'mise', 'jour', 'informations', 'sécurité', 'requise']","['urgent', 'mise', 'jour', 'information', 'sécurité', 'requérir']",0.4810126582278481,0.32499999999999996,0.11659192825112108
spam,"URGENT : Votre carte SIM sera désactivée sous 24h, suivez ce lien : www.operateur-fake.com",urgent  votre carte sim sera désactivée sous 24h suivez ce lien  wwwoperateurfakecom,"['urgent', 'votre', 'carte', 'sim', 'sera', 'désactivée', 'sous', '24h', 'suivez', 'ce', 'lien', 'wwwoperateurfakecom']","['urgent', 'carte', 'sim', 'désactivée', 'sous', '24h', 'suivez', 'lien', 'wwwoperateurfakecom']","['urgent', 'carte', 'sim', 'désactiver', 'sou', '24h', 'suivez', 'lien', 'wwwoperateurfakecom']",0.810126582278481,0.6499999999999999,0.5246636771300448
ham,"Je suis au travail, je te rappelle plus tard.",je suis au travail je te rappelle plus tard,"['je', 'suis', 'au', 'travail', 'je', 'te', 'rappelle', 'plus', 'tard']","['travail', 'rappelle', 'plus', 'tard']","['travail', 'rappell', 'plus', 'tard']",0.3037974683544304,0.45,0.06278026905829598
ham,"Le film d’hier était génial, tu devrais le voir !",le film d’hier était génial tu devrais le voir ,"['le', 'film', 'd', '’', 'hier', 'était', 'génial', 'tu', 'devrais', 'le', 'voir']","['film', '’', 'hier', 'génial', 'devrais', 'voir']","['film', '’', 'hier', 'génial', 'devrai', 'voir']",0.3417721518987342,0.41666666666666663,0.05381165919282512
ham,J’ai une idée géniale à te proposer.,j’ai une idée géniale à te proposer,"['j', '’', 'ai', 'une', 'idée', 'géniale', 'à', 'te', 'proposer']","['’', 'idée', 'géniale', 'proposer']","['’', 'idée', 'génial', 'proposer']",0.2151898734177215,0.275,0.08968609865470856
ham,"Bonjour, je suis en retard à cause de la circulation. À tout à l'heure !",bonjour je suis en retard à cause de la circulation à tout à lheure ,"['bonjour', 'je', 'suis', 'en', 'retard', 'à', 'cause', 'de', 'la', 'circulation', 'à', 'tout', 'à', 'lheure']","['bonjour', 'retard', 'cause', 'circulation', 'tout', 'lheure']","['bonjour', 'retard', 'cause', 'circulation', 'tout', 'lheur']",0.569620253164557,0.575,0.09417040358744397
spam,"Vous avez un colis en attente, confirmez vos informations ici : www.livraison-fake.com",vous avez un colis en attente confirmez vos informations ici  wwwlivraisonfakecom,"['vous', 'avez', 'un', 'colis', 'en', 'attente', 'confirmez', 'vos', 'informations', 'ici', 'wwwlivraisonfakecom']","['colis', 'attente', 'confirmez', 'informations', 'ici', 'wwwlivraisonfakecom']","['colis', 'attente', 'confirmer', 'information', 'ici', 'wwwlivraisonfakecom']",0.7848101265822784,0.5583333333333333,0.0
spam,"Achetez 1 produit, obtenez-en 3 gratuitement !",achetez 1 produit obtenezen 3 gratuitement ,"['achetez', '1', 'produit', 'obtenezen', '3', 'gratuitement']","['achetez', '1', 'produit', 'obtenezen', '3', 'gratuitement']","['acheter', '1', 'produit', 'obtenezen', '3', 'gratuitement']",0.3417721518987342,0.625,0.05381165919282512
spam,"Votre compte PayPal a été compromis, réinitialisez votre mot de passe ici.",votre compte paypal a été compromis réinitialisez votre mot de passe ici,"['votre', 'compte', 'paypal', 'a', 'été', 'compromis', 'réinitialisez', 'votre', 'mot', 'de', 'passe', 'ici']","['compte', 'paypal', 'compromis', 'réinitialisez', 'mot', 'passe', 'ici']","['compte', 'paypal', 'compromettre', 'réinitialiser', 'mot', 'passer', 'ici']",0.6329113924050633,0.26666666666666666,0.15695067264573992
spam,Trop beau pour être vrai ? Essayez et voyez par vous-même !,trop beau pour être vrai  essayez et voyez par vousmême ,"['trop', 'beau', 'pour', 'être', 'vrai', 'essayez', 'et', 'voyez', 'par', 'vousmême']","['trop', 'beau', 'être', 'vrai', 'essayez', 'voyez', 'vousmême']","['trop', 'beau', 'être', 'vrai', 'essayez', 'voir', 'vousmême']",0.44303797468354433,0.5166666666666666,0.13004484304932737
spam,Le secret des millionnaires enfin révélé : inscrivez-vous gratuitement.,le secret des millionnaires enfin révélé  inscrivezvous gratuitement,"['le', 'secret', 'des', 'millionnaires', 'enfin', 'révélé', 'inscrivezvous', 'gratuitement']","['secret', 'millionnaires', 'enfin', 'révélé', 'inscrivezvous', 'gratuitement']","['secret', 'millionnaire', 'enfin', 'révéler', 'inscrivezvou', 'gratuitement']",0.6329113924050633,0.39999999999999997,0.013452914798206282
spam,Vous avez gagné 50000 € à la loterie ! Réclamez votre prix maintenant : www.fakelink2.com,vous avez gagné 50000 € à la loterie  réclamez votre prix maintenant  wwwfakelink2com,"['vous', 'avez', 'gagné', '50000', '€', 'à', 'la', 'loterie', 'réclamez', 'votre', 'prix', 'maintenant', 'wwwfakelink2com']","['gagné', '50000', '€', 'loterie', 'réclamez', 'prix', 'maintenant', 'wwwfakelink2com']","['gagner', '50000', '€', 'loterie', 'réclamer', 'prix', 'maintenant', 'wwwfakelink2com']",0.7848101265822784,0.44166666666666665,0.06278026905829598
ham,On se retrouve devant le cinéma à 20h ?,on se retrouve devant le cinéma à 20h ,"['on', 'se', 'retrouve', 'devant', 'le', 'cinéma', 'à', '20h']","['retrouve', 'devant', 'cinéma', '20h']","['retrouve', 'devant', 'cinéma', '20h']",0.22784810126582278,0.26666666666666666,0.08520179372197312
spam,Votre profil LinkedIn a été sélectionné pour une opportunité unique.,votre profil linkedin a été sélectionné pour une opportunité unique,"['votre', 'profil', 'linkedin', 'a', 'été', 'sélectionné', 'pour', 'une', 'opportunité', 'unique']","['profil', 'linkedin', 'sélectionné', 'opportunité', 'unique']","['profil', 'linkedin', 'sélectionner', 'opportunité', 'unique']",0.5822784810126582,0.14166666666666666,0.17040358744394618
ham,J’ai trouvé une super recette à tester.,j’ai trouvé une super recette à tester,"['j', '’', 'ai', 'trouvé', 'une', 'super', 'recette', 'à', 'tester']","['’', 'trouvé', 'super', 'recette', 'tester']","['’', 'trouver', 'super', 'recette', 'tester']",0.25316455696202533,0.25,0.07623318385650224
spam,Découvrez comment obtenir un prêt sans intérêt immédiatement.,découvrez comment obtenir un prêt sans intérêt immédiatement,"['découvrez', 'comment', 'obtenir', 'un', 'prêt', 'sans', 'intérêt', 'immédiatement']","['découvrez', 'comment', 'obtenir', 'prêt', 'sans', 'intérêt', 'immédiatement']","['découvrir', 'comment', 'obtenir', 'prêt', 'sans', 'intérêt', 'immédiatement']",0.5189873417721519,0.15833333333333333,0.026905829596412557
spam,Mettez à jour vos informations pour éviter la suppression de votre compte.,mettez à jour vos informations pour éviter la suppression de votre compte,"['mettez', 'à', 'jour', 'vos', 'informations', 'pour', 'éviter', 'la', 'suppression', 'de', 'votre', 'compte']","['mettez', 'jour', 'informations', 'éviter', 'suppression', 'compte']","['mettre', 'jour', 'information', 'éviter', 'suppression', 'compte']",0.6329113924050633,0.13333333333333333,0.013452914798206282
spam,Mettez à jour vos informations pour éviter la suppression de votre compte.,mettez à jour vos informations pour éviter la suppression de votre compte,"['mettez', 'à', 'jour', 'vos', 'informations', 'pour', 'éviter', 'la', 'suppression', 'de', 'votre', 'compte']","['mettez', 'jour', 'informations', 'éviter', 'suppression', 'compte']","['mettre', 'jour', 'information', 'éviter', 'suppression', 'compte']",0.6329113924050633,0.13333333333333333,0.013452914798206282
ham,J’ai une idée géniale à te proposer.,j’ai une idée géniale à te proposer,"['j', '’', 'ai', 'une', 'idée', 'géniale', 'à', 'te', 'proposer']","['’', 'idée', 'géniale', 'proposer']","['’', 'idée', 'génial', 'proposer']",0.2151898734177215,0.275,0.08968609865470856
ham,Tu peux me rappeler quand tu es dispo ?,tu peux me rappeler quand tu es dispo ,"['tu', 'peux', 'me', 'rappeler', 'quand', 'tu', 'es', 'dispo']","['peux', 'rappeler', 'quand', 'dispo']","['peu', 'rappeler', 'quand', 'dispo']",0.22784810126582278,0.26666666666666666,0.08520179372197312
ham,"Le film d’hier était génial, tu devrais le voir !",le film d’hier était génial tu devrais le voir ,"['le', 'film', 'd', '’', 'hier', 'était', 'génial', 'tu', 'devrais', 'le', 'voir']","['film', '’', 'hier', 'génial', 'devrais', 'voir']","['film', '’', 'hier', 'génial', 'devrai', 'voir']",0.3417721518987342,0.41666666666666663,0.05381165919282512
ham,Dis-moi quand tu es dispo pour un appel.,dismoi quand tu es dispo pour un appel,"['dismoi', 'quand', 'tu', 'es', 'dispo', 'pour', 'un', 'appel']","['dismoi', 'quand', 'dispo', 'appel']","['dismoi', 'quand', 'dispo', 'appel']",0.25316455696202533,0.5083333333333333,0.07623318385650224
ham,"Je suis au travail, je te rappelle plus tard.",je suis au travail je te rappelle plus tard,"['je', 'suis', 'au', 'travail', 'je', 'te', 'rappelle', 'plus', 'tard']","['travail', 'rappelle', 'plus', 'tard']","['travail', 'rappell', 'plus', 'tard']",0.3037974683544304,0.45,0.06278026905829598
spam,Protégez vos informations bancaires dès maintenant.,protégez vos informations bancaires dès maintenant,"['protégez', 'vos', 'informations', 'bancaires', 'dès', 'maintenant']","['protégez', 'informations', 'bancaires', 'dès', 'maintenant']","['protéger', 'information', 'bancaire', 'dès', 'maintenant']",0.4177215189873418,0.1833333333333333,0.04035874439461882
ham,"On se voit bientôt, hâte de te retrouver !",on se voit bientôt hâte de te retrouver ,"['on', 'se', 'voit', 'bientôt', 'hâte', 'de', 'te', 'retrouver']","['voit', 'bientôt', 'hâte', 'retrouver']","['voir', 'bientôt', 'hâter', 'retrouver']",0.2658227848101266,0.4916666666666666,0.07174887892376686
spam,Besoin d’argent rapidement ? Recevez 1000€ dès aujourd’hui !,besoin d’argent rapidement  recevez 1000€ dès aujourd’hui ,"['besoin', 'd', '’', 'argent', 'rapidement', 'recevez', '1000€', 'dès', 'aujourd', '’', 'hui']","['besoin', '’', 'argent', 'rapidement', 'recevez', '1000€', 'dès', 'aujourd', '’', 'hui']","['besoin', '’', 'arger', 'rapidement', 'recevoir', '1000', 'euro', 'dès', 'aujourd', '’', 'hui']",0.49367088607594933,0.31666666666666665,0.11210762331838567
spam,Recevez un crédit instantané sans justificatif !,recevez un crédit instantané sans justificatif ,"['recevez', 'un', 'crédit', 'instantané', 'sans', 'justificatif']","['recevez', 'crédit', 'instantané', 'sans', 'justificatif']","['recevoir', 'crédit', 'instantaner', 'sans', 'justificatif']",0.36708860759493667,0.19999999999999998,0.04932735426008968
spam,"Investissez 100€, gagnez 1000€ en une semaine !",investissez 100€ gagnez 1000€ en une semaine ,"['investissez', '100€', 'gagnez', '1000€', 'en', 'une', 'semaine']","['investissez', '100€', 'gagnez', '1000€', 'semaine']","['investir', '100', 'euro', 'gagnez', '1000', 'euro', 'semaine']",0.3417721518987342,0.41666666666666663,0.05381165919282512
ham,Je suis ravi de te revoir bientôt !,je suis ravi de te revoir bientôt ,"['je', 'suis', 'ravi', 'de', 'te', 'revoir', 'bientôt']","['ravi', 'revoir', 'bientôt']","['ravi', 'revoir', 'bientôt']",0.189873417721519,0.29999999999999993,0.10313901345291479
spam,Votre compte WhatsApp sera supprimé si vous ne mettez pas à jour vos informations.,votre compte whatsapp sera supprimé si vous ne mettez pas à jour vos informations,"['votre', 'compte', 'whatsapp', 'sera', 'supprimé', 'si', 'vous', 'ne', 'mettez', 'pas', 'à', 'jour', 'vos', 'informations']","['compte', 'whatsapp', 'supprimé', 'si', 'mettez', 'jour', 'informations']","['compte', 'whatsapp', 'supprimer', 'si', 'mettre', 'jour', 'information']",0.7088607594936709,0.11666666666666667,0.13452914798206278
ham,Tu peux me rappeler quand tu es dispo ?,tu peux me rappeler quand tu es dispo ,"['tu', 'peux', 'me', 'rappeler', 'quand', 'tu', 'es', 'dispo']","['peux', 'rappeler', 'quand', 'dispo']","['peu', 'rappeler', 'quand', 'dispo']",0.22784810126582278,0.26666666666666666,0.08520179372197312
ham,"Je suis en vacances, c’est top ici !",je suis en vacances c’est top ici ,"['je', 'suis', 'en', 'vacances', 'c', '’', 'est', 'top', 'ici']","['vacances', '’', 'top', 'ici']","['vacance', '’', 'top', 'ici']",0.20253164556962028,0.575,0.09417040358744397
spam,Bénéficiez d’une réduction immédiate de 50% sur votre prochaine commande !,bénéficiez d’une réduction immédiate de 50 sur votre prochaine commande ,"['bénéficiez', 'd', '’', 'une', 'réduction', 'immédiate', 'de', '50', 'sur', 'votre', 'prochaine', 'commande']","['bénéficiez', '’', 'réduction', 'immédiate', '50', 'prochaine', 'commande']","['bénéficiez', '’', 'réduction', 'immédiat', '50', 'prochain', 'command']",0.6455696202531646,0.2583333333333333,0.013452914798206282
spam,Félicitations ! Vous avez gagné un prix de 20000 €. Cliquez ici pour réclamer : www.fakelink1.com,félicitations  vous avez gagné un prix de 20000 € cliquez ici pour réclamer  wwwfakelink1com,"['félicitations', 'vous', 'avez', 'gagné', 'un', 'prix', 'de', '20000', '€', 'cliquez', 'ici', 'pour', 'réclamer', 'wwwfakelink1com']","['félicitations', 'gagné', 'prix', '20000', '€', 'cliquez', 'ici', 'réclamer', 'wwwfakelink1com']","['félicitation', 'gagner', 'prix', '20000', 'euro', 'cliquer', 'ici', 'réclamer', 'wwwfakelink1com']",0.8734177215189873,0.5083333333333333,0.10762331838565023
ham,"Je suis en route, j’arrive dans 10 min.",je suis en route j’arrive dans 10 min,"['je', 'suis', 'en', 'route', 'j', '’', 'arrive', 'dans', '10', 'min']","['route', '’', 'arrive', '10', 'min']","['rout', '’', 'arriver', '10', 'min']",0.24050632911392406,0.5166666666666666,0.08071748878923768
spam,Essayez notre programme minceur GRATUITEMENT pendant 30 jours !,essayez notre programme minceur gratuitement pendant 30 jours ,"['essayez', 'notre', 'programme', 'minceur', 'gratuitement', 'pendant', '30', 'jours']","['essayez', 'programme', 'minceur', 'gratuitement', 'pendant', '30', 'jours']","['essayer', 'programme', 'minceur', 'gratuitement', 'pendant', '30', 'jour']",0.5316455696202531,0.14999999999999997,0.9999999999999999
spam,Félicitations ! Vous avez gagné un prix de 10000 €. Cliquez ici pour réclamer : www.fakelink3.com,félicitations  vous avez gagné un prix de 10000 € cliquez ici pour réclamer  wwwfakelink3com,"['félicitations', 'vous', 'avez', 'gagné', 'un', 'prix', 'de', '10000', '€', 'cliquez', 'ici', 'pour', 'réclamer', 'wwwfakelink3com']","['félicitations', 'gagné', 'prix', '10000', '€', 'cliquez', 'ici', 'réclamer', 'wwwfakelink3com']","['félicitation', 'gagner', 'prix', '10000', 'euro', 'cliquer', 'ici', 'réclamer', 'wwwfakelink3com']",0.8734177215189873,0.5083333333333333,0.10762331838565023
spam,Découvrez comment doubler votre argent en investissant avec nous.,découvrez comment doubler votre argent en investissant avec nous,"['découvrez', 'comment', 'doubler', 'votre', 'argent', 'en', 'investissant', 'avec', 'nous']","['découvrez', 'comment', 'doubler', 'argent', 'investissant']","['découvrir', 'comment', 'doubler', 'argent', 'investir']",0.5569620253164557,0.14999999999999997,0.02242152466367712
spam,Vous venez de gagner une carte cadeau Amazon de 500€ !,vous venez de gagner une carte cadeau amazon de 500€ ,"['vous', 'venez', 'de', 'gagner', 'une', 'carte', 'cadeau', 'amazon', 'de', '500€']","['venez', 'gagner', 'carte', 'cadeau', 'amazon', '500€']","['venir', 'gagner', 'carte', 'cadeau', 'amazon', '500', 'euro']",0.3924050632911392,0.19166666666666665,0.14349775784753366
