label,text,text_np,text_tokens,text_nostop,text_lem,length,punc%
spam,الفرصة الأخيرة للاستفادة من هذا العرض الرائع!,الفرصة الأخيرة للاستفادة من هذا العرض الرائع,"['الفرصة', 'الأخيرة', 'للاستفادة', 'من', 'هذا', 'العرض', 'الرائع']","['الفرصة', 'الأخيرة', 'للاستفادة', 'العرض', 'الرائع']",فُرصَة أَخِير لِ اِستِفَادَة عَرض رَائِع,0.417910447761194,0.0983606557377049
ham,شكرًا لك مرة أخرى على الأمس!,شكرًا لك مرة أخرى على الأمس,"['شكرًا', 'لك', 'مرة', 'أخرى', 'على', 'الأمس']","['شكرًا', 'مرة', 'أخرى', 'الأمس']",شُكر مَرَّة آخَر أَمس,0.1791044776119403,0.23770491803278682
ham,مبروك على الترقية!,مبروك على الترقية,"['مبروك', 'على', 'الترقية']","['مبروك', 'الترقية']",مَبرُوك تَرقِيَة,0.07462686567164178,0.39344262295081966
spam,لقد ربحت بطاقة هدايا أمازون بقيمة 500 يورو!,لقد ربحت بطاقة هدايا أمازون بقيمة 500 يورو,"['لقد', 'ربحت', 'بطاقة', 'هدايا', 'أمازون', 'بقيمة', '500', 'يورو']","['لقد', 'ربحت', 'بطاقة', 'هدايا', 'أمازون', 'بقيمة', '500']",لقد رَبَح بِطَاقَة هَدِيَّة أمازون بِ قِيمَة 500,0.3731343283582089,0.11475409836065574
spam,احصل على استرداد نقدي بقيمة 100 يورو على مشترياتك القادمة!,احصل على استرداد نقدي بقيمة 100 يورو على مشترياتك القادمة,"['احصل', 'على', 'استرداد', 'نقدي', 'بقيمة', '100', 'يورو', 'على', 'مشترياتك', 'القادمة']","['احصل', 'استرداد', 'نقدي', 'بقيمة', '100', 'مشترياتك', 'القادمة']",حَصل اِستِردَاد نَقدِيّ بِ قِيمَة 100 مُشتَرَى هُوَ قَادِم,0.5671641791044776,0.049180327868852444
spam,الفرصة الأخيرة للاستفادة من هذا العرض الرائع!,الفرصة الأخيرة للاستفادة من هذا العرض الرائع,"['الفرصة', 'الأخيرة', 'للاستفادة', 'من', 'هذا', 'العرض', 'الرائع']","['الفرصة', 'الأخيرة', 'للاستفادة', 'العرض', 'الرائع']",فُرصَة أَخِير لِ اِستِفَادَة عَرض رَائِع,0.417910447761194,0.0983606557377049
ham,مرحبًا، أنا مشغول الآن. سأتصل بك لاحقًا.,مرحبًا، أنا مشغول الآن سأتصل بك لاحقًا,"['مرحبًا،', 'أنا', 'مشغول', 'الآن', 'سأتصل', 'بك', 'لاحقًا']","['مرحبًا،', 'مشغول', 'سأتصل', 'لاحقًا']",مُرَحَّب ، مَشغُول سَ اِتَّصَل لَاحِق,0.34328358208955223,0.36885245901639335
spam,اشترِ منتجًا واحدًا واحصل على 3 مجانًا!,اشترِ منتجًا واحدًا واحصل على 3 مجانًا,"['اشترِ', 'منتجًا', 'واحدًا', 'واحصل', 'على', '3', 'مجانًا']","['اشترِ', 'منتجًا', 'واحدًا', 'واحصل', '3', 'مجانًا']",اِشتَرَى مُنتَج وَاحِد وَ حَصَل 3 مَجَّان,0.32835820895522383,0.13114754098360654
spam,اكسب المال من المنزل ببضع نقرات فقط!,اكسب المال من المنزل ببضع نقرات فقط,"['اكسب', 'المال', 'من', 'المنزل', 'ببضع', 'نقرات', 'فقط']","['اكسب', 'المال', 'المنزل', 'ببضع', 'نقرات', 'فقط']",اكسب مَال مَنزِل بِ بِضع نَقرَة فَقَط,0.28358208955223885,0.1557377049180328
spam,قم بتحديث معلوماتك الآن لتجنب حذف حسابك.,قم بتحديث معلوماتك الآن لتجنب حذف حسابك,"['قم', 'بتحديث', 'معلوماتك', 'الآن', 'لتجنب', 'حذف', 'حسابك']","['قم', 'بتحديث', 'معلوماتك', 'لتجنب', 'حذف', 'حسابك']",قَام بِ تَحدِيث مَعلُومَة هُوَ لِ تَجَنُّب حِذف حَسَّابَك,0.34328358208955223,0.12295081967213116
spam,قرض سريع بدون فحص، احصل على 5000 يورو خلال 24 ساعة.,قرض سريع بدون فحص، احصل على 5000 يورو خلال 24 ساعة,"['قرض', 'سريع', 'بدون', 'فحص،', 'احصل', 'على', '5000', 'يورو', 'خلال', '24', 'ساعة']","['قرض', 'سريع', 'بدون', 'فحص،', 'احصل', '5000', 'خلال', '24', 'ساعة']",قَرض سَرِيع بدون فَحص ، أَحصَل 5000 خِلَالَ 24 سَاعَة,0.4477611940298507,0.08196721311475406
ham,أتمنى أن تكون بخير، لم نلتقِ منذ فترة!,أتمنى أن تكون بخير، لم نلتقِ منذ فترة,"['أتمنى', 'أن', 'تكون', 'بخير،', 'لم', 'نلتقِ', 'منذ', 'فترة']","['أتمنى', 'تكون', 'بخير،', 'نلتقِ', 'فترة']",تَمَنَّى كَان بِ خَير ، اِلتَقَِ فَترَة,0.29850746268656714,0.14754098360655737
spam,سيتم حذف حساب WhatsApp الخاص بك إذا لم تقم بتحديث معلوماتك.,سيتم حذف حساب whatsapp الخاص بك إذا لم تقم بتحديث معلوماتك,"['سيتم', 'حذف', 'حساب', 'whatsapp', 'الخاص', 'بك', 'إذا', 'لم', 'تقم', 'بتحديث', 'معلوماتك']","['سيتم', 'حذف', 'حساب', 'whatsapp', 'الخاص', 'تقم', 'بتحديث', 'معلوماتك']",سَ تَمّ حِذف حِسَاب هُوَ خَاصّ قَمّ بِ تَحدِيث مَعلُومَة,0.5671641791044776,0.049180327868852444
ham,شكرًا لمساعدتك، كان ذلك رائعًا!,شكرًا لمساعدتك، كان ذلك رائعًا,"['شكرًا', 'لمساعدتك،', 'كان', 'ذلك', 'رائعًا']","['شكرًا', 'لمساعدتك،', 'رائعًا']",شُكر لِ مُسَاعَدَة هُوَ ، رَائِع,0.23880597014925373,0.18852459016393436
ham,لا تنسَ موعدنا مع الطبيب.,لا تنسَ موعدنا مع الطبيب,"['لا', 'تنسَ', 'موعدنا', 'مع', 'الطبيب']","['تنسَ', 'موعدنا', 'الطبيب']",نَسََّ موعدنا طَبِيب,0.1492537313432836,0.27868852459016386
spam,تم اختيارك لتجربة منتج مجاني، سجل الآن!,تم اختيارك لتجربة منتج مجاني، سجل الآن,"['تم', 'اختيارك', 'لتجربة', 'منتج', 'مجاني،', 'سجل', 'الآن']","['تم', 'اختيارك', 'لتجربة', 'منتج', 'مجاني،', 'سجل']",تَمّ اِختِيَارك لِ تَجرِبَة مُنتَج مَجَّانِيّ ، سَجَّل,0.32835820895522383,0.13114754098360654
spam,انقر هنا لاكتشاف طريقة مذهلة لفقدان الوزن في 3 أيام.,انقر هنا لاكتشاف طريقة مذهلة لفقدان الوزن في 3 أيام,"['انقر', 'هنا', 'لاكتشاف', 'طريقة', 'مذهلة', 'لفقدان', 'الوزن', 'في', '3', 'أيام']","['انقر', 'لاكتشاف', 'طريقة', 'مذهلة', 'لفقدان', 'الوزن', '3', 'أيام']",أَنقَر لِ اِكتِشَاف طَرِيقَة مُذَهَّل لِ فِقدَان وَزن 3 يَوم,0.4776119402985074,0.07377049180327865
ham,مرحبًا، أنا مشغول الآن. سأتصل بك لاحقًا.,مرحبًا، أنا مشغول الآن سأتصل بك لاحقًا,"['مرحبًا،', 'أنا', 'مشغول', 'الآن', 'سأتصل', 'بك', 'لاحقًا']","['مرحبًا،', 'مشغول', 'سأتصل', 'لاحقًا']",مُرَحَّب ، مَشغُول سَ اِتَّصَل لَاحِق,0.34328358208955223,0.36885245901639335
spam,لا تفوت فرصتك لتصبح ثريًا الآن.,لا تفوت فرصتك لتصبح ثريًا الآن,"['لا', 'تفوت', 'فرصتك', 'لتصبح', 'ثريًا', 'الآن']","['تفوت', 'فرصتك', 'لتصبح', 'ثريًا']",فَات فُرصَة هُوَ لِ أَصبَح ثِرِّيّ,0.22388059701492538,0.19672131147540978
spam,اشترِ منتجًا واحدًا واحصل على 3 مجانًا!,اشترِ منتجًا واحدًا واحصل على 3 مجانًا,"['اشترِ', 'منتجًا', 'واحدًا', 'واحصل', 'على', '3', 'مجانًا']","['اشترِ', 'منتجًا', 'واحدًا', 'واحصل', '3', 'مجانًا']",اِشتَرَى مُنتَج وَاحِد وَ حَصَل 3 مَجَّان,0.32835820895522383,0.13114754098360654
spam,بقيت ساعات قليلة فقط للاستفادة من هذا العرض الرائع!,بقيت ساعات قليلة فقط للاستفادة من هذا العرض الرائع,"['بقيت', 'ساعات', 'قليلة', 'فقط', 'للاستفادة', 'من', 'هذا', 'العرض', 'الرائع']","['بقيت', 'ساعات', 'قليلة', 'فقط', 'للاستفادة', 'العرض', 'الرائع']",بَقِي سَاعَة قَلِيل فَقَط لِ اِستِفَادَة عَرض رَائِع,0.4776119402985074,0.07377049180327865
spam,عرض لا يصدق! جربه بنفسك الآن!,عرض لا يصدق جربه بنفسك الآن,"['عرض', 'لا', 'يصدق', 'جربه', 'بنفسك', 'الآن']","['عرض', 'يصدق', 'جربه', 'بنفسك']",عرض صَدَق جَرَّب هُوَ بنفسك,0.19402985074626863,0.5655737704918032
ham,كيف كان يومك؟,كيف كان يومك,"['كيف', 'كان', 'يومك']",['يومك'],يُومَك,0.0,0.6311475409836065
spam,لديك طرد في الانتظار، أكد معلوماتك هنا: www.livraison-fake.com,لديك طرد في الانتظار، أكد معلوماتك هنا wwwlivraisonfakecom,"['لديك', 'طرد', 'في', 'الانتظار،', 'أكد', 'معلوماتك', 'هنا', 'wwwlivraisonfakecom']","['لديك', 'طرد', 'الانتظار،', 'أكد', 'معلوماتك', 'wwwlivraisonfakecom']",لَدِيك طَرد اِنتِظَار ، أَكَّد مَعلُومَة هُوَ wwwlivr a i sonfak eco m,0.6567164179104478,0.48360655737704905
spam,لدينا استثمار رائع لك، اتصل بنا الآن.,لدينا استثمار رائع لك، اتصل بنا الآن,"['لدينا', 'استثمار', 'رائع', 'لك،', 'اتصل', 'بنا', 'الآن']","['لدينا', 'استثمار', 'رائع', 'لك،', 'اتصل']",لدينا اِستِثمَار رَائِع لَك ، اِتَّصَل,0.29850746268656714,0.14754098360655737
spam,تعلم كيف تضاعف أموالك بالاستثمار معنا.,تعلم كيف تضاعف أموالك بالاستثمار معنا,"['تعلم', 'كيف', 'تضاعف', 'أموالك', 'بالاستثمار', 'معنا']","['تعلم', 'تضاعف', 'أموالك', 'بالاستثمار', 'معنا']",عَلِم تَضَاعُف مَالِك بِ اِستِثمَار مَعنَى,0.32835820895522383,0.13114754098360654
ham,أنا عالق في زحمة المرور...,أنا عالق في زحمة المرور,"['أنا', 'عالق', 'في', 'زحمة', 'المرور']","['عالق', 'زحمة', 'المرور']",عَالِق زَحمَة مُرُور,0.16417910447761194,1.0000000000000002
ham,لقد وجدت وصفة رائعة لتجربتها.,لقد وجدت وصفة رائعة لتجربتها,"['لقد', 'وجدت', 'وصفة', 'رائعة', 'لتجربتها']","['لقد', 'وجدت', 'وصفة', 'رائعة', 'لتجربتها']",لقد وَجَد وَصفَة رَائِع لِ تَجرِبت هُوَ,0.20895522388059698,0.21311475409836061
ham,هل يمكنك إعطائي العنوان الدقيق؟,هل يمكنك إعطائي العنوان الدقيق,"['هل', 'يمكنك', 'إعطائي', 'العنوان', 'الدقيق']","['يمكنك', 'إعطائي', 'العنوان', 'الدقيق']",أَمكَن هُوَ إِعطَائِيّ عُنوَان دَقِيق,0.23880597014925373,0.18852459016393436
spam,الفرصة الأخيرة للاستفادة من هذا العرض الرائع!,الفرصة الأخيرة للاستفادة من هذا العرض الرائع,"['الفرصة', 'الأخيرة', 'للاستفادة', 'من', 'هذا', 'العرض', 'الرائع']","['الفرصة', 'الأخيرة', 'للاستفادة', 'العرض', 'الرائع']",فُرصَة أَخِير لِ اِستِفَادَة عَرض رَائِع,0.417910447761194,0.0983606557377049
spam,عاجل: سيتم إيقاف بطاقة SIM الخاصة بك خلال 24 ساعة، اتبع هذا الرابط: www.operateur-fake.com,عاجل سيتم إيقاف بطاقة sim الخاصة بك خلال 24 ساعة، اتبع هذا الرابط wwwoperateurfakecom,"['عاجل', 'سيتم', 'إيقاف', 'بطاقة', 'sim', 'الخاصة', 'بك', 'خلال', '24', 'ساعة،', 'اتبع', 'هذا', 'الرابط', 'wwwoperateurfakecom']","['عاجل', 'سيتم', 'إيقاف', 'بطاقة', 'sim', 'الخاصة', 'خلال', '24', 'ساعة،', 'اتبع', 'الرابط', 'wwwoperateurfakecom']",عَاجِل سَ تَمّ إِيقَاف بِطَاقَة sim خَاصّ خِلَالَ 24 سَاعَة ، اِتَّبَع رَابِط wwwope r ateurfak eco m,0.9850746268656716,0.4180327868852458
spam,فاتورتك الهاتفية في انتظار السداد، قم بالدفع هنا.,فاتورتك الهاتفية في انتظار السداد، قم بالدفع هنا,"['فاتورتك', 'الهاتفية', 'في', 'انتظار', 'السداد،', 'قم', 'بالدفع', 'هنا']","['فاتورتك', 'الهاتفية', 'انتظار', 'السداد،', 'قم', 'بالدفع']",فَ اِتوَرتك هَاتِفِيّ اِنتِظَار سَدَاد ، قَام بالدفع,0.4626865671641791,0.08196721311475406
ham,شكرًا لمساعدتك، كان ذلك رائعًا!,شكرًا لمساعدتك، كان ذلك رائعًا,"['شكرًا', 'لمساعدتك،', 'كان', 'ذلك', 'رائعًا']","['شكرًا', 'لمساعدتك،', 'رائعًا']",شُكر لِ مُسَاعَدَة هُوَ ، رَائِع,0.23880597014925373,0.18852459016393436
ham,هل ستأتي هذا المساء؟,هل ستأتي هذا المساء,"['هل', 'ستأتي', 'هذا', 'المساء']","['ستأتي', 'المساء']",سَ أَتَى مَسَاء,0.08955223880597016,0.36885245901639335
spam,تم اختراق حساب PayPal الخاص بك، قم بإعادة تعيين كلمة المرور هنا.,تم اختراق حساب paypal الخاص بك، قم بإعادة تعيين كلمة المرور هنا,"['تم', 'اختراق', 'حساب', 'paypal', 'الخاص', 'بك،', 'قم', 'بإعادة', 'تعيين', 'كلمة', 'المرور', 'هنا']","['تم', 'اختراق', 'حساب', 'paypal', 'الخاص', 'بك،', 'قم', 'بإعادة', 'تعيين', 'كلمة', 'المرور']",تَمّ اِختِرَاق حِسَاب paypal خَاصّ بِ هُوَ ، قَام بِ إِعَادَة تَعيِين كَلِمَة مُرُور,0.626865671641791,0.040983606557377025
spam,لديك رسالة صوتية غير مقروءة، استمع إليها هنا.,لديك رسالة صوتية غير مقروءة، استمع إليها هنا,"['لديك', 'رسالة', 'صوتية', 'غير', 'مقروءة،', 'استمع', 'إليها', 'هنا']","['لديك', 'رسالة', 'صوتية', 'مقروءة،', 'استمع', 'إليها']",لَدِيك رِسَالَة صَوتِيّ مقروءة ، اِستَمَع إِلَى هُوَ,0.4029850746268656,0.0983606557377049
spam,فاتورتك الهاتفية في انتظار السداد، قم بالدفع هنا.,فاتورتك الهاتفية في انتظار السداد، قم بالدفع هنا,"['فاتورتك', 'الهاتفية', 'في', 'انتظار', 'السداد،', 'قم', 'بالدفع', 'هنا']","['فاتورتك', 'الهاتفية', 'انتظار', 'السداد،', 'قم', 'بالدفع']",فَ اِتوَرتك هَاتِفِيّ اِنتِظَار سَدَاد ، قَام بالدفع,0.4626865671641791,0.08196721311475406
spam,تم تحويل 1000 يورو إلى حسابك، انقر هنا لاستلامه.,تم تحويل 1000 يورو إلى حسابك، انقر هنا لاستلامه,"['تم', 'تحويل', '1000', 'يورو', 'إلى', 'حسابك،', 'انقر', 'هنا', 'لاستلامه']","['تم', 'تحويل', '1000', 'حسابك،', 'انقر', 'لاستلامه']",تَمّ تَحوِيل 1000 حَسَّابَك ، أَنقَر لِ اِستِلَام هُوَ,0.4328358208955223,0.09016393442622948
ham,أنا عالق في زحمة المرور...,أنا عالق في زحمة المرور,"['أنا', 'عالق', 'في', 'زحمة', 'المرور']","['عالق', 'زحمة', 'المرور']",عَالِق زَحمَة مُرُور,0.16417910447761194,1.0000000000000002
spam,اشترك في سحبنا لفرصة الفوز بسيارة جديدة!,اشترك في سحبنا لفرصة الفوز بسيارة جديدة,"['اشترك', 'في', 'سحبنا', 'لفرصة', 'الفوز', 'بسيارة', 'جديدة']","['اشترك', 'سحبنا', 'لفرصة', 'الفوز', 'بسيارة', 'جديدة']",اِشتِركِيّ سحبنا لِ فُرصَة فَوز بِ سَيَّارَة جَدِيد,0.34328358208955223,0.12295081967213116
ham,هل ستأتي إلى التمرين هذا المساء؟,هل ستأتي إلى التمرين هذا المساء,"['هل', 'ستأتي', 'إلى', 'التمرين', 'هذا', 'المساء']","['ستأتي', 'التمرين', 'المساء']",سَ أَتَى تَمرِين مَسَاء,0.23880597014925373,0.18852459016393436
ham,سنلتقي قريبًا، لا أطيق الانتظار!,سنلتقي قريبًا، لا أطيق الانتظار,"['سنلتقي', 'قريبًا،', 'لا', 'أطيق', 'الانتظار']","['سنلتقي', 'قريبًا،', 'أطيق', 'الانتظار']",سَ نلتقي قَرِيب ، أَطَاق اِنتِظَار,0.25373134328358204,0.18032786885245894
ham,أنا عالق في زحمة المرور...,أنا عالق في زحمة المرور,"['أنا', 'عالق', 'في', 'زحمة', 'المرور']","['عالق', 'زحمة', 'المرور']",عَالِق زَحمَة مُرُور,0.16417910447761194,1.0000000000000002
ham,حظًا موفقًا في مقابلتك الوظيفية!,حظًا موفقًا في مقابلتك الوظيفية,"['حظًا', 'موفقًا', 'في', 'مقابلتك', 'الوظيفية']","['حظًا', 'موفقًا', 'مقابلتك', 'الوظيفية']",حَظّ مُوَفَّق مُقَابَلَة هُوَ وَظِيفِيّ,0.25373134328358204,0.18032786885245894
spam,لدينا استثمار رائع لك، اتصل بنا الآن.,لدينا استثمار رائع لك، اتصل بنا الآن,"['لدينا', 'استثمار', 'رائع', 'لك،', 'اتصل', 'بنا', 'الآن']","['لدينا', 'استثمار', 'رائع', 'لك،', 'اتصل']",لدينا اِستِثمَار رَائِع لَك ، اِتَّصَل,0.29850746268656714,0.14754098360655737
ham,هل نلتقي في المقهى الساعة 15؟,هل نلتقي في المقهى الساعة 15,"['هل', 'نلتقي', 'في', 'المقهى', 'الساعة', '15']","['نلتقي', 'المقهى', 'الساعة', '15']",نلتقي مَقهَى سَاعَة 15,0.19402985074626863,0.22950819672131145
spam,تهانينا! لقد ربحت جائزة بقيمة 20000 دولار. انقر هنا للمطالبة: www.رابط-وهمي1.com,تهانينا لقد ربحت جائزة بقيمة 20000 دولار انقر هنا للمطالبة wwwرابطوهمي1com,"['تهانينا', 'لقد', 'ربحت', 'جائزة', 'بقيمة', '20000', 'دولار', 'انقر', 'هنا', 'للمطالبة', 'wwwرابطوهمي1com']","['تهانينا', 'لقد', 'ربحت', 'جائزة', 'بقيمة', '20000', 'انقر', 'للمطالبة', 'wwwرابطوهمي1com']",تَهنِين لقد رَبَح جَائِزَة بِ قِيمَة 20000 أَنقَر لِ مُطَالَبَة wwwرابطوهمي 1co m,0.880597014925373,0.5901639344262294
spam,اشترِ منتجًا واحدًا واحصل على 3 مجانًا!,اشترِ منتجًا واحدًا واحصل على 3 مجانًا,"['اشترِ', 'منتجًا', 'واحدًا', 'واحصل', 'على', '3', 'مجانًا']","['اشترِ', 'منتجًا', 'واحدًا', 'واحصل', '3', 'مجانًا']",اِشتَرَى مُنتَج وَاحِد وَ حَصَل 3 مَجَّان,0.32835820895522383,0.13114754098360654
ham,شكرًا على رسالتك. سأتصل بك لاحقًا.,شكرًا على رسالتك سأتصل بك لاحقًا,"['شكرًا', 'على', 'رسالتك', 'سأتصل', 'بك', 'لاحقًا']","['شكرًا', 'رسالتك', 'سأتصل', 'لاحقًا']",شُكر رِسَالَة هُوَ سَ اِتَّصَل لَاحِق,0.26865671641791045,0.4508196721311475
ham,مرحبًا! هل انتهيت من عملك؟ هل نلتقي في المطعم؟,مرحبًا هل انتهيت من عملك هل نلتقي في المطعم,"['مرحبًا', 'هل', 'انتهيت', 'من', 'عملك', 'هل', 'نلتقي', 'في', 'المطعم']","['مرحبًا', 'انتهيت', 'عملك', 'نلتقي', 'المطعم']",مُرَحَّب اِنتَهَى عملك نلتقي مُطعَم,0.4029850746268656,0.5327868852459016
spam,لقد ربحت 20000 دولار في اليانصيب! اطلب جائزتك الآن: www.رابط-وهمي3.com,لقد ربحت 20000 دولار في اليانصيب اطلب جائزتك الآن wwwرابطوهمي3com,"['لقد', 'ربحت', '20000', 'دولار', 'في', 'اليانصيب', 'اطلب', 'جائزتك', 'الآن', 'wwwرابطوهمي3com']","['لقد', 'ربحت', '20000', 'اليانصيب', 'اطلب', 'جائزتك', 'wwwرابطوهمي3com']",لقد رَبَح 20000 يَانِص طَلَب جَائِزَة هُوَ wwwرابطوهمي 3co m,0.7462686567164178,0.5573770491803279
ham,أنا في اجتماع، سأتصل بك بعد ذلك.,أنا في اجتماع، سأتصل بك بعد ذلك,"['أنا', 'في', 'اجتماع،', 'سأتصل', 'بك', 'بعد', 'ذلك']","['اجتماع،', 'سأتصل']",اِجتِمَاع ، سَ اِتَّصَل,0.22388059701492538,0.19672131147540978
spam,سيتم حظر بطاقتك البنكية قريبًا، انقر هنا لمنع الإيقاف.,سيتم حظر بطاقتك البنكية قريبًا، انقر هنا لمنع الإيقاف,"['سيتم', 'حظر', 'بطاقتك', 'البنكية', 'قريبًا،', 'انقر', 'هنا', 'لمنع', 'الإيقاف']","['سيتم', 'حظر', 'بطاقتك', 'البنكية', 'قريبًا،', 'انقر', 'لمنع', 'الإيقاف']",سَ تَمّ حَظر بِ طَاقَة هُوَ بَنكِيّ قَرِيب ، أَنقَر لِ مَنع إِيقَاف,0.5223880597014925,0.06557377049180325
spam,عرض خاص! احصل على خصم 30% على مشترياتك القادمة. انقر هنا: www.رابط-وهمي1.com,عرض خاص احصل على خصم 30 على مشترياتك القادمة انقر هنا wwwرابطوهمي1com,"['عرض', 'خاص', 'احصل', 'على', 'خصم', '30', 'على', 'مشترياتك', 'القادمة', 'انقر', 'هنا', 'wwwرابطوهمي1com']","['عرض', 'خاص', 'احصل', 'خصم', '30', 'مشترياتك', 'القادمة', 'انقر', 'wwwرابطوهمي1com']",عَرض خَاصّ حَصل خَصَم 30 مُشتَرَى هُوَ قَادِم انقر wwwرابطوهمي 1co m,0.8059701492537313,0.7704918032786885
ham,أتمنى أن تكون بخير، لم نلتقِ منذ فترة!,أتمنى أن تكون بخير، لم نلتقِ منذ فترة,"['أتمنى', 'أن', 'تكون', 'بخير،', 'لم', 'نلتقِ', 'منذ', 'فترة']","['أتمنى', 'تكون', 'بخير،', 'نلتقِ', 'فترة']",تَمَنَّى كَان بِ خَير ، اِلتَقَِ فَترَة,0.29850746268656714,0.14754098360655737
ham,أنا في اجتماع، سأتصل بك بعد ذلك.,أنا في اجتماع، سأتصل بك بعد ذلك,"['أنا', 'في', 'اجتماع،', 'سأتصل', 'بك', 'بعد', 'ذلك']","['اجتماع،', 'سأتصل']",اِجتِمَاع ، سَ اِتَّصَل,0.22388059701492538,0.19672131147540978
ham,رأيت بول اليوم، وقد أرسل لك تحياته.,رأيت بول اليوم، وقد أرسل لك تحياته,"['رأيت', 'بول', 'اليوم،', 'وقد', 'أرسل', 'لك', 'تحياته']","['رأيت', 'بول', 'اليوم،', 'وقد', 'أرسل', 'تحياته']",رَأَى بُول يَوم ، وَ قَد أَرسَل تَحِيَّة هُوَ,0.26865671641791045,0.1639344262295082
ham,أنا أنتظرك أمام المحطة.,أنا أنتظرك أمام المحطة,"['أنا', 'أنتظرك', 'أمام', 'المحطة']","['أنتظرك', 'المحطة']",اِنتَظَر مَحَطَّة,0.1343283582089552,0.2950819672131147
