label,text,text_np,text_tokens,text_nostop,text_lem
spam,الفرصة الأخيرة للاستفادة من هذا العرض الرائع!,الفرصة الأخيرة للاستفادة من هذا العرض الرائع,"['الفرصة', 'الأخيرة', 'للاستفادة', 'من', 'هذا', 'العرض', 'الرائع']","['الفرصة', 'الأخيرة', 'للاستفادة', 'العرض', 'الرائع']",فُرصَة أَخِير لِ اِستِفَادَة عَرض رَائِع
ham,مرحبًا، أنا مشغول الآن. سأتصل بك لاحقًا.,مرحبًا، أنا مشغول الآن سأتصل بك لاحقًا,"['مرحبًا،', 'أنا', 'مشغول', 'الآن', 'سأتصل', 'بك', 'لاحقًا']","['مرحبًا،', 'مشغول', 'سأتصل', 'لاحقًا']",مُرَحَّب ، مَشغُول سَ اِتَّصَل لَاحِق
spam,اشترِ منتجًا واحدًا واحصل على 3 مجانًا!,اشترِ منتجًا واحدًا واحصل على 3 مجانًا,"['اشترِ', 'منتجًا', 'واحدًا', 'واحصل', 'على', '3', 'مجانًا']","['اشترِ', 'منتجًا', 'واحدًا', 'واحصل', '3', 'مجانًا']",اِشتَرَى مُنتَج وَاحِد وَ حَصَل 3 مَجَّان
spam,اكسب المال من المنزل ببضع نقرات فقط!,اكسب المال من المنزل ببضع نقرات فقط,"['اكسب', 'المال', 'من', 'المنزل', 'ببضع', 'نقرات', 'فقط']","['اكسب', 'المال', 'المنزل', 'ببضع', 'نقرات', 'فقط']",اكسب مَال مَنزِل بِ بِضع نَقرَة فَقَط
spam,قم بتحديث معلوماتك الآن لتجنب حذف حسابك.,قم بتحديث معلوماتك الآن لتجنب حذف حسابك,"['قم', 'بتحديث', 'معلوماتك', 'الآن', 'لتجنب', 'حذف', 'حسابك']","['قم', 'بتحديث', 'معلوماتك', 'لتجنب', 'حذف', 'حسابك']",قَام بِ تَحدِيث مَعلُومَة هُوَ لِ تَجَنُّب حِذف حَسَّابَك
spam,قرض سريع بدون فحص، احصل على 5000 يورو خلال 24 ساعة.,قرض سريع بدون فحص، احصل على 5000 يورو خلال 24 ساعة,"['قرض', 'سريع', 'بدون', 'فحص،', 'احصل', 'على', '5000', 'يورو', 'خلال', '24', 'ساعة']","['قرض', 'سريع', 'بدون', 'فحص،', 'احصل', '5000', 'خلال', '24', 'ساعة']",قَرض سَرِيع بدون فَحص ، أَحصَل 5000 خِلَالَ 24 سَاعَة
ham,أتمنى أن تكون بخير، لم نلتقِ منذ فترة!,أتمنى أن تكون بخير، لم نلتقِ منذ فترة,"['أتمنى', 'أن', 'تكون', 'بخير،', 'لم', 'نلتقِ', 'منذ', 'فترة']","['أتمنى', 'تكون', 'بخير،', 'نلتقِ', 'فترة']",تَمَنَّى كَان بِ خَير ، اِلتَقَِ فَترَة
spam,سيتم حذف حساب WhatsApp الخاص بك إذا لم تقم بتحديث معلوماتك.,سيتم حذف حساب whatsapp الخاص بك إذا لم تقم بتحديث معلوماتك,"['سيتم', 'حذف', 'حساب', 'whatsapp', 'الخاص', 'بك', 'إذا', 'لم', 'تقم', 'بتحديث', 'معلوماتك']","['سيتم', 'حذف', 'حساب', 'whatsapp', 'الخاص', 'تقم', 'بتحديث', 'معلوماتك']",سَ تَمّ حِذف حِسَاب هُوَ خَاصّ قَمّ بِ تَحدِيث مَعلُومَة
ham,شكرًا لمساعدتك، كان ذلك رائعًا!,شكرًا لمساعدتك، كان ذلك رائعًا,"['شكرًا', 'لمساعدتك،', 'كان', 'ذلك', 'رائعًا']","['شكرًا', 'لمساعدتك،', 'رائعًا']",شُكر لِ مُسَاعَدَة هُوَ ، رَائِع
ham,لا تنسَ موعدنا مع الطبيب.,لا تنسَ موعدنا مع الطبيب,"['لا', 'تنسَ', 'موعدنا', 'مع', 'الطبيب']","['تنسَ', 'موعدنا', 'الطبيب']",نَسََّ موعدنا طَبِيب
spam,تم اختيارك لتجربة منتج مجاني، سجل الآن!,تم اختيارك لتجربة منتج مجاني، سجل الآن,"['تم', 'اختيارك', 'لتجربة', 'منتج', 'مجاني،', 'سجل', 'الآن']","['تم', 'اختيارك', 'لتجربة', 'منتج', 'مجاني،', 'سجل']",تَمّ اِختِيَارك لِ تَجرِبَة مُنتَج مَجَّانِيّ ، سَجَّل
spam,انقر هنا لاكتشاف طريقة مذهلة لفقدان الوزن في 3 أيام.,انقر هنا لاكتشاف طريقة مذهلة لفقدان الوزن في 3 أيام,"['انقر', 'هنا', 'لاكتشاف', 'طريقة', 'مذهلة', 'لفقدان', 'الوزن', 'في', '3', 'أيام']","['انقر', 'لاكتشاف', 'طريقة', 'مذهلة', 'لفقدان', 'الوزن', '3', 'أيام']",أَنقَر لِ اِكتِشَاف طَرِيقَة مُذَهَّل لِ فِقدَان وَزن 3 يَوم
ham,مرحبًا، أنا مشغول الآن. سأتصل بك لاحقًا.,مرحبًا، أنا مشغول الآن سأتصل بك لاحقًا,"['مرحبًا،', 'أنا', 'مشغول', 'الآن', 'سأتصل', 'بك', 'لاحقًا']","['مرحبًا،', 'مشغول', 'سأتصل', 'لاحقًا']",مُرَحَّب ، مَشغُول سَ اِتَّصَل لَاحِق
spam,لا تفوت فرصتك لتصبح ثريًا الآن.,لا تفوت فرصتك لتصبح ثريًا الآن,"['لا', 'تفوت', 'فرصتك', 'لتصبح', 'ثريًا', 'الآن']","['تفوت', 'فرصتك', 'لتصبح', 'ثريًا']",فَات فُرصَة هُوَ لِ أَصبَح ثِرِّيّ
spam,اشترِ منتجًا واحدًا واحصل على 3 مجانًا!,اشترِ منتجًا واحدًا واحصل على 3 مجانًا,"['اشترِ', 'منتجًا', 'واحدًا', 'واحصل', 'على', '3', 'مجانًا']","['اشترِ', 'منتجًا', 'واحدًا', 'واحصل', '3', 'مجانًا']",اِشتَرَى مُنتَج وَاحِد وَ حَصَل 3 مَجَّان
spam,بقيت ساعات قليلة فقط للاستفادة من هذا العرض الرائع!,بقيت ساعات قليلة فقط للاستفادة من هذا العرض الرائع,"['بقيت', 'ساعات', 'قليلة', 'فقط', 'للاستفادة', 'من', 'هذا', 'العرض', 'الرائع']","['بقيت', 'ساعات', 'قليلة', 'فقط', 'للاستفادة', 'العرض', 'الرائع']",بَقِي سَاعَة قَلِيل فَقَط لِ اِستِفَادَة عَرض رَائِع
spam,عرض لا يصدق! جربه بنفسك الآن!,عرض لا يصدق جربه بنفسك الآن,"['عرض', 'لا', 'يصدق', 'جربه', 'بنفسك', 'الآن']","['عرض', 'يصدق', 'جربه', 'بنفسك']",عرض صَدَق جَرَّب هُوَ بنفسك
ham,كيف كان يومك؟,كيف كان يومك,"['كيف', 'كان', 'يومك']",['يومك'],يُومَك
spam,لديك طرد في الانتظار، أكد معلوماتك هنا: www.livraison-fake.com,لديك طرد في الانتظار، أكد معلوماتك هنا wwwlivraisonfakecom,"['لديك', 'طرد', 'في', 'الانتظار،', 'أكد', 'معلوماتك', 'هنا', 'wwwlivraisonfakecom']","['لديك', 'طرد', 'الانتظار،', 'أكد', 'معلوماتك', 'wwwlivraisonfakecom']",لَدِيك طَرد اِنتِظَار ، أَكَّد مَعلُومَة هُوَ wwwlivr a i sonfak eco m
spam,لدينا استثمار رائع لك، اتصل بنا الآن.,لدينا استثمار رائع لك، اتصل بنا الآن,"['لدينا', 'استثمار', 'رائع', 'لك،', 'اتصل', 'بنا', 'الآن']","['لدينا', 'استثمار', 'رائع', 'لك،', 'اتصل']",لدينا اِستِثمَار رَائِع لَك ، اِتَّصَل
spam,تعلم كيف تضاعف أموالك بالاستثمار معنا.,تعلم كيف تضاعف أموالك بالاستثمار معنا,"['تعلم', 'كيف', 'تضاعف', 'أموالك', 'بالاستثمار', 'معنا']","['تعلم', 'تضاعف', 'أموالك', 'بالاستثمار', 'معنا']",عَلِم تَضَاعُف مَالِك بِ اِستِثمَار مَعنَى
ham,أنا عالق في زحمة المرور...,أنا عالق في زحمة المرور,"['أنا', 'عالق', 'في', 'زحمة', 'المرور']","['عالق', 'زحمة', 'المرور']",عَالِق زَحمَة مُرُور
ham,لقد وجدت وصفة رائعة لتجربتها.,لقد وجدت وصفة رائعة لتجربتها,"['لقد', 'وجدت', 'وصفة', 'رائعة', 'لتجربتها']","['لقد', 'وجدت', 'وصفة', 'رائعة', 'لتجربتها']",لقد وَجَد وَصفَة رَائِع لِ تَجرِبت هُوَ
ham,هل يمكنك إعطائي العنوان الدقيق؟,هل يمكنك إعطائي العنوان الدقيق,"['هل', 'يمكنك', 'إعطائي', 'العنوان', 'الدقيق']","['يمكنك', 'إعطائي', 'العنوان', 'الدقيق']",أَمكَن هُوَ إِعطَائِيّ عُنوَان دَقِيق
spam,الفرصة الأخيرة للاستفادة من هذا العرض الرائع!,الفرصة الأخيرة للاستفادة من هذا العرض الرائع,"['الفرصة', 'الأخيرة', 'للاستفادة', 'من', 'هذا', 'العرض', 'الرائع']","['الفرصة', 'الأخيرة', 'للاستفادة', 'العرض', 'الرائع']",فُرصَة أَخِير لِ اِستِفَادَة عَرض رَائِع
spam,عاجل: سيتم إيقاف بطاقة SIM الخاصة بك خلال 24 ساعة، اتبع هذا الرابط: www.operateur-fake.com,عاجل سيتم إيقاف بطاقة sim الخاصة بك خلال 24 ساعة، اتبع هذا الرابط wwwoperateurfakecom,"['عاجل', 'سيتم', 'إيقاف', 'بطاقة', 'sim', 'الخاصة', 'بك', 'خلال', '24', 'ساعة،', 'اتبع', 'هذا', 'الرابط', 'wwwoperateurfakecom']","['عاجل', 'سيتم', 'إيقاف', 'بطاقة', 'sim', 'الخاصة', 'خلال', '24', 'ساعة،', 'اتبع', 'الرابط', 'wwwoperateurfakecom']",عَاجِل سَ تَمّ إِيقَاف بِطَاقَة sim خَاصّ خِلَالَ 24 سَاعَة ، اِتَّبَع رَابِط wwwope r ateurfak eco m
spam,فاتورتك الهاتفية في انتظار السداد، قم بالدفع هنا.,فاتورتك الهاتفية في انتظار السداد، قم بالدفع هنا,"['فاتورتك', 'الهاتفية', 'في', 'انتظار', 'السداد،', 'قم', 'بالدفع', 'هنا']","['فاتورتك', 'الهاتفية', 'انتظار', 'السداد،', 'قم', 'بالدفع']",فَ اِتوَرتك هَاتِفِيّ اِنتِظَار سَدَاد ، قَام بالدفع
ham,شكرًا لمساعدتك، كان ذلك رائعًا!,شكرًا لمساعدتك، كان ذلك رائعًا,"['شكرًا', 'لمساعدتك،', 'كان', 'ذلك', 'رائعًا']","['شكرًا', 'لمساعدتك،', 'رائعًا']",شُكر لِ مُسَاعَدَة هُوَ ، رَائِع
ham,هل ستأتي هذا المساء؟,هل ستأتي هذا المساء,"['هل', 'ستأتي', 'هذا', 'المساء']","['ستأتي', 'المساء']",سَ أَتَى مَسَاء
spam,تم اختراق حساب PayPal الخاص بك، قم بإعادة تعيين كلمة المرور هنا.,تم اختراق حساب paypal الخاص بك، قم بإعادة تعيين كلمة المرور هنا,"['تم', 'اختراق', 'حساب', 'paypal', 'الخاص', 'بك،', 'قم', 'بإعادة', 'تعيين', 'كلمة', 'المرور', 'هنا']","['تم', 'اختراق', 'حساب', 'paypal', 'الخاص', 'بك،', 'قم', 'بإعادة', 'تعيين', 'كلمة', 'المرور']",تَمّ اِختِرَاق حِسَاب paypal خَاصّ بِ هُوَ ، قَام بِ إِعَادَة تَعيِين كَلِمَة مُرُور
spam,لديك رسالة صوتية غير مقروءة، استمع إليها هنا.,لديك رسالة صوتية غير مقروءة، استمع إليها هنا,"['لديك', 'رسالة', 'صوتية', 'غير', 'مقروءة،', 'استمع', 'إليها', 'هنا']","['لديك', 'رسالة', 'صوتية', 'مقروءة،', 'استمع', 'إليها']",لَدِيك رِسَالَة صَوتِيّ مقروءة ، اِستَمَع إِلَى هُوَ
spam,فاتورتك الهاتفية في انتظار السداد، قم بالدفع هنا.,فاتورتك الهاتفية في انتظار السداد، قم بالدفع هنا,"['فاتورتك', 'الهاتفية', 'في', 'انتظار', 'السداد،', 'قم', 'بالدفع', 'هنا']","['فاتورتك', 'الهاتفية', 'انتظار', 'السداد،', 'قم', 'بالدفع']",فَ اِتوَرتك هَاتِفِيّ اِنتِظَار سَدَاد ، قَام بالدفع
spam,تم تحويل 1000 يورو إلى حسابك، انقر هنا لاستلامه.,تم تحويل 1000 يورو إلى حسابك، انقر هنا لاستلامه,"['تم', 'تحويل', '1000', 'يورو', 'إلى', 'حسابك،', 'انقر', 'هنا', 'لاستلامه']","['تم', 'تحويل', '1000', 'حسابك،', 'انقر', 'لاستلامه']",تَمّ تَحوِيل 1000 حَسَّابَك ، أَنقَر لِ اِستِلَام هُوَ
ham,أنا عالق في زحمة المرور...,أنا عالق في زحمة المرور,"['أنا', 'عالق', 'في', 'زحمة', 'المرور']","['عالق', 'زحمة', 'المرور']",عَالِق زَحمَة مُرُور
spam,اشترك في سحبنا لفرصة الفوز بسيارة جديدة!,اشترك في سحبنا لفرصة الفوز بسيارة جديدة,"['اشترك', 'في', 'سحبنا', 'لفرصة', 'الفوز', 'بسيارة', 'جديدة']","['اشترك', 'سحبنا', 'لفرصة', 'الفوز', 'بسيارة', 'جديدة']",اِشتِركِيّ سحبنا لِ فُرصَة فَوز بِ سَيَّارَة جَدِيد
ham,هل ستأتي إلى التمرين هذا المساء؟,هل ستأتي إلى التمرين هذا المساء,"['هل', 'ستأتي', 'إلى', 'التمرين', 'هذا', 'المساء']","['ستأتي', 'التمرين', 'المساء']",سَ أَتَى تَمرِين مَسَاء
ham,سنلتقي قريبًا، لا أطيق الانتظار!,سنلتقي قريبًا، لا أطيق الانتظار,"['سنلتقي', 'قريبًا،', 'لا', 'أطيق', 'الانتظار']","['سنلتقي', 'قريبًا،', 'أطيق', 'الانتظار']",سَ نلتقي قَرِيب ، أَطَاق اِنتِظَار
ham,أنا عالق في زحمة المرور...,أنا عالق في زحمة المرور,"['أنا', 'عالق', 'في', 'زحمة', 'المرور']","['عالق', 'زحمة', 'المرور']",عَالِق زَحمَة مُرُور
ham,حظًا موفقًا في مقابلتك الوظيفية!,حظًا موفقًا في مقابلتك الوظيفية,"['حظًا', 'موفقًا', 'في', 'مقابلتك', 'الوظيفية']","['حظًا', 'موفقًا', 'مقابلتك', 'الوظيفية']",حَظّ مُوَفَّق مُقَابَلَة هُوَ وَظِيفِيّ
spam,لدينا استثمار رائع لك، اتصل بنا الآن.,لدينا استثمار رائع لك، اتصل بنا الآن,"['لدينا', 'استثمار', 'رائع', 'لك،', 'اتصل', 'بنا', 'الآن']","['لدينا', 'استثمار', 'رائع', 'لك،', 'اتصل']",لدينا اِستِثمَار رَائِع لَك ، اِتَّصَل
ham,هل نلتقي في المقهى الساعة 15؟,هل نلتقي في المقهى الساعة 15,"['هل', 'نلتقي', 'في', 'المقهى', 'الساعة', '15']","['نلتقي', 'المقهى', 'الساعة', '15']",نلتقي مَقهَى سَاعَة 15
spam,تهانينا! لقد ربحت جائزة بقيمة 20000 دولار. انقر هنا للمطالبة: www.رابط-وهمي1.com,تهانينا لقد ربحت جائزة بقيمة 20000 دولار انقر هنا للمطالبة wwwرابطوهمي1com,"['تهانينا', 'لقد', 'ربحت', 'جائزة', 'بقيمة', '20000', 'دولار', 'انقر', 'هنا', 'للمطالبة', 'wwwرابطوهمي1com']","['تهانينا', 'لقد', 'ربحت', 'جائزة', 'بقيمة', '20000', 'انقر', 'للمطالبة', 'wwwرابطوهمي1com']",تَهنِين لقد رَبَح جَائِزَة بِ قِيمَة 20000 أَنقَر لِ مُطَالَبَة wwwرابطوهمي 1co m
spam,اشترِ منتجًا واحدًا واحصل على 3 مجانًا!,اشترِ منتجًا واحدًا واحصل على 3 مجانًا,"['اشترِ', 'منتجًا', 'واحدًا', 'واحصل', 'على', '3', 'مجانًا']","['اشترِ', 'منتجًا', 'واحدًا', 'واحصل', '3', 'مجانًا']",اِشتَرَى مُنتَج وَاحِد وَ حَصَل 3 مَجَّان
ham,شكرًا على رسالتك. سأتصل بك لاحقًا.,شكرًا على رسالتك سأتصل بك لاحقًا,"['شكرًا', 'على', 'رسالتك', 'سأتصل', 'بك', 'لاحقًا']","['شكرًا', 'رسالتك', 'سأتصل', 'لاحقًا']",شُكر رِسَالَة هُوَ سَ اِتَّصَل لَاحِق
ham,مرحبًا! هل انتهيت من عملك؟ هل نلتقي في المطعم؟,مرحبًا هل انتهيت من عملك هل نلتقي في المطعم,"['مرحبًا', 'هل', 'انتهيت', 'من', 'عملك', 'هل', 'نلتقي', 'في', 'المطعم']","['مرحبًا', 'انتهيت', 'عملك', 'نلتقي', 'المطعم']",مُرَحَّب اِنتَهَى عملك نلتقي مُطعَم
spam,لقد ربحت 20000 دولار في اليانصيب! اطلب جائزتك الآن: www.رابط-وهمي3.com,لقد ربحت 20000 دولار في اليانصيب اطلب جائزتك الآن wwwرابطوهمي3com,"['لقد', 'ربحت', '20000', 'دولار', 'في', 'اليانصيب', 'اطلب', 'جائزتك', 'الآن', 'wwwرابطوهمي3com']","['لقد', 'ربحت', '20000', 'اليانصيب', 'اطلب', 'جائزتك', 'wwwرابطوهمي3com']",لقد رَبَح 20000 يَانِص طَلَب جَائِزَة هُوَ wwwرابطوهمي 3co m
ham,أنا في اجتماع، سأتصل بك بعد ذلك.,أنا في اجتماع، سأتصل بك بعد ذلك,"['أنا', 'في', 'اجتماع،', 'سأتصل', 'بك', 'بعد', 'ذلك']","['اجتماع،', 'سأتصل']",اِجتِمَاع ، سَ اِتَّصَل
spam,سيتم حظر بطاقتك البنكية قريبًا، انقر هنا لمنع الإيقاف.,سيتم حظر بطاقتك البنكية قريبًا، انقر هنا لمنع الإيقاف,"['سيتم', 'حظر', 'بطاقتك', 'البنكية', 'قريبًا،', 'انقر', 'هنا', 'لمنع', 'الإيقاف']","['سيتم', 'حظر', 'بطاقتك', 'البنكية', 'قريبًا،', 'انقر', 'لمنع', 'الإيقاف']",سَ تَمّ حَظر بِ طَاقَة هُوَ بَنكِيّ قَرِيب ، أَنقَر لِ مَنع إِيقَاف
spam,عرض خاص! احصل على خصم 30% على مشترياتك القادمة. انقر هنا: www.رابط-وهمي1.com,عرض خاص احصل على خصم 30 على مشترياتك القادمة انقر هنا wwwرابطوهمي1com,"['عرض', 'خاص', 'احصل', 'على', 'خصم', '30', 'على', 'مشترياتك', 'القادمة', 'انقر', 'هنا', 'wwwرابطوهمي1com']","['عرض', 'خاص', 'احصل', 'خصم', '30', 'مشترياتك', 'القادمة', 'انقر', 'wwwرابطوهمي1com']",عَرض خَاصّ حَصل خَصَم 30 مُشتَرَى هُوَ قَادِم انقر wwwرابطوهمي 1co m
ham,أتمنى أن تكون بخير، لم نلتقِ منذ فترة!,أتمنى أن تكون بخير، لم نلتقِ منذ فترة,"['أتمنى', 'أن', 'تكون', 'بخير،', 'لم', 'نلتقِ', 'منذ', 'فترة']","['أتمنى', 'تكون', 'بخير،', 'نلتقِ', 'فترة']",تَمَنَّى كَان بِ خَير ، اِلتَقَِ فَترَة
ham,أنا في اجتماع، سأتصل بك بعد ذلك.,أنا في اجتماع، سأتصل بك بعد ذلك,"['أنا', 'في', 'اجتماع،', 'سأتصل', 'بك', 'بعد', 'ذلك']","['اجتماع،', 'سأتصل']",اِجتِمَاع ، سَ اِتَّصَل
ham,رأيت بول اليوم، وقد أرسل لك تحياته.,رأيت بول اليوم، وقد أرسل لك تحياته,"['رأيت', 'بول', 'اليوم،', 'وقد', 'أرسل', 'لك', 'تحياته']","['رأيت', 'بول', 'اليوم،', 'وقد', 'أرسل', 'تحياته']",رَأَى بُول يَوم ، وَ قَد أَرسَل تَحِيَّة هُوَ
ham,أنا أنتظرك أمام المحطة.,أنا أنتظرك أمام المحطة,"['أنا', 'أنتظرك', 'أمام', 'المحطة']","['أنتظرك', 'المحطة']",اِنتَظَر مَحَطَّة
ham,أنا سعيد جدًا من أجلك!,أنا سعيد جدًا من أجلك,"['أنا', 'سعيد', 'جدًا', 'من', 'أجلك']","['سعيد', 'جدًا', 'أجلك']",سَعِيد جِدّ أجلك
spam,هل تحتاج إلى المال بسرعة؟ احصل على 1000 يورو اليوم!,هل تحتاج إلى المال بسرعة احصل على 1000 يورو اليوم,"['هل', 'تحتاج', 'إلى', 'المال', 'بسرعة', 'احصل', 'على', '1000', 'يورو', 'اليوم']","['تحتاج', 'المال', 'بسرعة', 'احصل', '1000', 'اليوم']",اِحتَاج مَال بِ سُرعَة حَصل 1000 يَوم
spam,احمِ بياناتك المصرفية الآن.,احمِ بياناتك المصرفية الآن,"['احمِ', 'بياناتك', 'المصرفية', 'الآن']","['احمِ', 'بياناتك', 'المصرفية']",أَحمَِ بَيَان هُوَ مَصرِفِيّ
ham,لا تقلق، كل شيء سيكون على ما يرام.,لا تقلق، كل شيء سيكون على ما يرام,"['لا', 'تقلق،', 'كل', 'شيء', 'سيكون', 'على', 'ما', 'يرام']","['تقلق،', 'شيء', 'سيكون', 'يرام']",أَقلَق ، شَيء سِيكُون رَام
spam,عاجل: سيتم إيقاف بطاقة SIM الخاصة بك خلال 24 ساعة، اتبع هذا الرابط: www.operateur-fake.com,عاجل سيتم إيقاف بطاقة sim الخاصة بك خلال 24 ساعة، اتبع هذا الرابط wwwoperateurfakecom,"['عاجل', 'سيتم', 'إيقاف', 'بطاقة', 'sim', 'الخاصة', 'بك', 'خلال', '24', 'ساعة،', 'اتبع', 'هذا', 'الرابط', 'wwwoperateurfakecom']","['عاجل', 'سيتم', 'إيقاف', 'بطاقة', 'sim', 'الخاصة', 'خلال', '24', 'ساعة،', 'اتبع', 'الرابط', 'wwwoperateurfakecom']",عَاجِل سَ تَمّ إِيقَاف بِطَاقَة sim خَاصّ خِلَالَ 24 سَاعَة ، اِتَّبَع رَابِط wwwope r ateurfak eco m
ham,أنا أنتظرك أمام المحطة.,أنا أنتظرك أمام المحطة,"['أنا', 'أنتظرك', 'أمام', 'المحطة']","['أنتظرك', 'المحطة']",اِنتَظَر مَحَطَّة
ham,حظًا موفقًا في مقابلتك الوظيفية!,حظًا موفقًا في مقابلتك الوظيفية,"['حظًا', 'موفقًا', 'في', 'مقابلتك', 'الوظيفية']","['حظًا', 'موفقًا', 'مقابلتك', 'الوظيفية']",حَظّ مُوَفَّق مُقَابَلَة هُوَ وَظِيفِيّ
